12/17/2018,Geico,Home Insurance,-$11.63
12/17/2018,H-e-b #579,Groceries,-$36.15
12/17/2018,Lyft *ride Sat 1am,Nightlife,-$5.03
12/17/2018,Momentum Indoor Climbi,Fitness,-$80.11
12/17/2018,Specs #59, 12/17 #x5703 Purchase, Specs #59, Houston, TX,Gifts,-$16.23
12/16/2018,Cane Rosso Heights,Restaurants,-$35.90
12/16/2018,Little Woodrows - Braz,Nightlife,-$20.86
12/16/2018,Lyft *ride Thu 8pm,Nightlife,-$8.70
12/16/2018,Thai Cottage at the Ba,Restaurants,-$11.18
12/16/2018,Tiffany and Company #140,Gifts,-$243.56
12/14/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,401k,$130.00
12/14/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,Match,$52.00
12/14/2018,25 Piada Houston Memorial,Restaurants,-$8.65
12/14/2018,H and M Mechanic Des:hm Payroll Id:710, Indn:stuart I. Mcrobbie, CO Id:1760,Paycheck,$895.85
12/14/2018,Spicy Chen Asian Bistro,Restaurants,-$7.72
12/13/2018,Interest Charge:purchases,,-$11.33
12/13/2018,Shell Oil x1506,Gas,-$6.73
12/12/2018,H-e-b #473,Groceries,-$10.54
12/12/2018,H-e-b Gas #473,Gas,-$18.80
12/10/2018,Little Woodrows - Braz,Nightlife,-$14.91
12/10/2018,Raising Cane's,Restaurants,-$8.35
12/10/2018,Tide Dry Cleaners x0248,Transfer,-$10.27
12/10/2018,Uber Technologies,Nightlife,-$8.84
12/10/2018,Zelle Transfer Conf# 6bd8391b5;, Prestwood, Jacoby,Utilities,-$71.14
12/10/2018,Zelle Transfer Conf# 8bf9aff6d;, Prestwood, Jacoby,Additional Income,$10.27
12/9/2018,Southwes x6233,Holidays,-$234.96
12/9/2018,Travel Credit $75/year,Holidays,$75.00
12/9/2018,Tst* Coco Crepes Waffles,Restaurants,-$15.05
12/8/2018,Bibi's House of Kabob,Restaurants,-$17.30
12/8/2018,Credit-travel Reward,Additional Income,$84.25
12/8/2018,Sprouts Farmers Market,Groceries,-$22.95
12/7/2018,Hctra Ez Tag Rebill,Car Expenses,-$40.00
12/7/2018,Hm Mechanical Co Des:payroll, Id:710, Indn:mcrobbie, Stuart I., CO Id:1760,Paycheck,$895.85
12/7/2018,Thai Jasmine Cuisine,Restaurants,-$9.61
12/6/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,Match,$52.00
12/6/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,401k,$130.00
12/6/2018,Beer Market Co.,Nightlife,-$7.50
12/5/2018,Chipotle,Restaurants,-$7.52
12/5/2018,Chuys Pasadena,Restaurants,-$12.25
12/5/2018,Front Porch Pub,Restaurants,-$7.50
12/5/2018,Hou Parking Ecopark,Extra,-$30.00
12/5/2018,Mdw Jetbox & Dd B,Restaurants,-$9.63
12/5/2018,Microsoft*xbox Live Go, Redmond, WA,Subscriptions,-$10.65
12/4/2018,7-Eleven,Extra,-$3.30
12/4/2018,LA Roccia,Restaurants,-$45.94
12/4/2018,Tst* Toni Chicago,Restaurants,-$13.09
12/4/2018,Uncle Julio's Chicago,Restaurants,-$41.23
12/3/2018,7 Plates Cafe,Restaurants,-$47.50
12/3/2018,From: Bank of America, Na-funds Received,Transfer,$100.00
12/3/2018,Khyber Pass,Restaurants,-$47.82
12/3/2018,Lyft, *ride Sat 8pm, x-x-9553 CA,Extra,-$8.88
12/3/2018,Macy's on State Street,Clothes,-$65.66
12/3/2018,Mark Vend Co.,Extra,-$3.00
12/3/2018,Plein Air Cafe & Eatery,Restaurants,-$42.45
12/3/2018,Thedukeofperth,Nightlife,-$17.47
12/3/2018,Vanguard Buy, Des:investment ID:x5509, Indn:stuart Ian Mcrobbie, CO Id:vmc,Transfer,-$100.00
12/3/2018,Vanguard Federal Money Market Fund (settlement Fund)-sweep in,Brokerage,-$100.00
12/2/2018,Annual Membership Fee,Extra,-$149.00
12/1/2018,Chipotle,Restaurants,-$7.42
12/1/2018,H-e-b Gas #473,Gas,-$22.23
12/1/2018,Hchroncilenewsst2543,Extra,-$5.80
12/1/2018,Lyft, *ride Fri 7pm, x-x-9553 CA,Transfer,-$2.81
12/1/2018,Lyft, *ride Fri 7pm, x-x-9553 CA,Transfer,-$13.13
11/30/2018,Hm Mechanical Co Des:payroll, Id:710, Indn:mcrobbie, Stuart I., CO Id:1760,Paycheck,$895.85
11/30/2018,Sunrise by the P Des:web Pmts, Id:f8zb81, Indn:stuart Mcrobbie, CO Id:9084,Rent,-$958.18
11/30/2018,Vanguard Federal Money Market Fund (settlement Fund)-dividend,Transfer,$0.08
11/30/2018,Vanguard Federal Money Market Fund (settlement Fund)-dividend,Transfer,$0.36
11/30/2018,Vanguard Federal Money Market Fund (settlement Fund)-reinvestment,Transfer,-$0.36
11/30/2018,Vanguard Federal Money Market Fund (settlement Fund)-reinvestment,Transfer,-$0.08
11/29/2018,Ally Bank, Des:$transfer, ID:x8269, Indn:stuart I Mcrobbie, CO Id:3770,Transfer,-$1,000.00
